[2026-04-04T16:53:14.632Z] GET https://github.com/zarazhangrui/frontend-slides → 200 (699ms, ?B)
[2026-04-04T16:53:15.354Z] GET https://github.githubassets.com/assets/light-0c8222dcd7a4f9b7.css → pending (?ms, ?B)
[2026-04-04T16:53:15.354Z] GET https://github.githubassets.com/assets/light_high_contrast-51c0c6e0c085cc0f.css → pending (?ms, ?B)
[2026-04-04T16:53:15.354Z] GET https://github.githubassets.com/assets/dark-fc6eec18532c3ae0.css → pending (?ms, ?B)
[2026-04-04T16:53:15.355Z] GET https://github.githubassets.com/assets/dark_high_contrast-96d7b2bab5a6ae4e.css → pending (?ms, ?B)
[2026-04-04T16:53:15.355Z] GET https://github.githubassets.com/assets/primer-primitives-10bf9dd67e3d70bd.css → pending (?ms, ?B)
[2026-04-04T16:53:15.355Z] GET https://github.githubassets.com/assets/primer-0fcd9af82350aeda.css → pending (?ms, ?B)
[2026-04-04T16:53:15.355Z] GET https://github.githubassets.com/assets/global-0bd78641c0a1f3e0.css → pending (?ms, ?B)
[2026-04-04T16:53:15.355Z] GET https://github.githubassets.com/assets/github-c94ab8d1f22049a8.css → pending (?ms, ?B)
[2026-04-04T16:53:15.355Z] GET https://github.githubassets.com/assets/repository-6ec84ae2261fecf8.css → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/code-2d31826944fd3be8.css → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/high-contrast-cookie-fed1d93364101384.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/wp-runtime-67a34eab15460b9b.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/fetch-utilities-78a4114cfa572239.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/85924-e131bec5f99667e1.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/28839-734cb6d8a7150172.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/34646-edd5528648c197b1.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/environment-51c0968cf21c176d.js → pending (?ms, ?B)
[2026-04-04T16:53:15.356Z] GET https://github.githubassets.com/assets/runtime-helpers-3bb6f7d6b7a2f531.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/2966-f6796bfd155feae1.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/96232-69d46a31854353d4.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/41013-7a6deee6d6ff15eb.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/51210-3abb7238871a5b29.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/64247-7de91c52a8aca0eb.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/31721-17b28a26ab4c2e02.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/46740-6606b1026a237412.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/39130-334926c8365e947c.js → pending (?ms, ?B)
[2026-04-04T16:53:15.357Z] GET https://github.githubassets.com/assets/github-elements-459d4cd7a0f718d7.js → pending (?ms, ?B)
[2026-04-04T16:53:15.358Z] GET https://github.githubassets.com/assets/element-registry-8f2ee807900dbb63.js → pending (?ms, ?B)
[2026-04-04T16:53:15.358Z] GET https://github.githubassets.com/assets/react-core-2e47687b4310af0f.js → pending (?ms, ?B)
[2026-04-04T16:53:15.358Z] GET https://github.githubassets.com/assets/react-lib-a4cf89fce9a1300a.js → pending (?ms, ?B)
[2026-04-04T16:53:15.358Z] GET https://github.githubassets.com/assets/7053-fe40037405b8998b.js → pending (?ms, ?B)
[2026-04-04T16:53:15.358Z] GET https://github.githubassets.com/assets/79039-2565b539a6ebc09b.js → pending (?ms, ?B)
